,REGION,MARKET,BRM,BLDIMAGE,BRANDDIFFERENTIATOR,BRANDFAMILY,BRANDONMARKET,BRANDSUBFAMILY,BRANDSUBFAMILYGROUP,BRANDSUBFAMILYGROUPING,BRANDSUBFAMILYLINE,CHARINDICATOR,BRMID,INDICATOR,RTYPE,INTERNATIONALINDICATOR,ISREPLACEMENT,ISSTRATEGIC,ITEMSHAPE,ITEMSCODE,LATESTPERIODINDEX,LEN,LENCATEGORY,PRICECLASS,LOCALCLASS,MARKETEDBRAND,MINDICATOR,NCON,NPLLAUNCHDATE,NPLLAUNCHYEAR,PCKT,PRICECLASSON,TCLASS,RETAILPACKPRICE,SPECIALFLAVOR,TRCONTE,THICATEGORY,TIPCOLOR,TRACKINGSTATUS,Market_Share,Success
0,REGION1,MARKET7,BRM36,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET36,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038893,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND36,MINDICATOR2,0.0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15.0,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001435277116405436,False
1,REGION1,MARKET7,BRM37,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET37,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040489,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND37,MINDICATOR2,0.0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0023767360640406347,False
2,REGION1,MARKET7,BRM38,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET38,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078730,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND38,MINDICATOR2,0.0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,27.0,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.02239267966871887,True
3,REGION1,MARKET7,BRM58,BLDIMAGE9,BRANDDIFFERENTIATOR267,BRANDFAMILY12,BRANDONMARKET58,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078732,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND58,MINDICATOR2,0.0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,29.25,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.01783011486556851,True
4,REGION1,MARKET7,BRM73,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET73,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038898,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND73,MINDICATOR2,0.0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15.0,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001103073793831376,False
5,REGION1,MARKET7,BRM74,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET74,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040491,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND74,MINDICATOR2,0.0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0017679467875956413,False
6,REGION1,MARKET51,BRM492,BLDIMAGE2,BRANDDIFFERENTIATOR1,BRANDFAMILY42,BRANDONMARKET492,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,50002391,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,99,LENCATEGORY1,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND492,MINDICATOR2,1.0,201301,NPLLAUNCHYEAR6,PCKT28,PRICECLASSON3,TCLASS1,420.0,SPECIALFLAVOR7,12,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0025711109275143276,False
7,REGION1,MARKET51,BRM493,BLDIMAGE2,BRANDDIFFERENTIATOR86,BRANDFAMILY42,BRANDONMARKET493,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,60076302,INDICATOR2,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,,20,12,0,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND493,MINDICATOR2,0.0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON3,TCLASS1,420.0,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR6,TRACKINGSTATUS2,0.002096555966621104,False
8,REGION1,MARKET51,BRM494,BLDIMAGE2,BRANDDIFFERENTIATOR88,BRANDFAMILY42,BRANDONMARKET494,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,50066837,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND494,MINDICATOR2,0.0,200911,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON3,TCLASS2,420.0,SPECIALFLAVOR7,6,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,9.51607701767125e-05,False
9,REGION1,MARKET82,BRM867,BLDIMAGE9,BRANDDIFFERENTIATOR547,BRANDFAMILY47,BRANDONMARKET867,BRANDSUBFAMILY106,BRANDSUBFAMILYGROUP51,BRANDSUBFAMILYGROUPING106,BRANDSUBFAMILYLINE54,CHARINDICATOR2,50064424,INDICATOR1,,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,,20,12,0,LENCATEGORY2,PRICECLASS22,LOCALCLASS5,MARKETEDBRAND867,MINDICATOR2,0.0,200903,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON2,TCLASS2,28.8,,0,THICATEGORY4,,TRACKINGSTATUS2,0.002334847299121137,False
